date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:03:28	89500/89500	---MCZ	200	added ('OK')	application/javascript	etag:%22c2da194c25824448445422a181f94bdb-ssl-df%22	https://technoraxv9.netlify.app/assets/js/jquery.js	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/assets/js/jquery.js	(from https://technoraxv9.netlify.app/)
19:03:29	120705/120705	---MCZ	200	added ('OK')	application/javascript	etag:%222efc19017828714d520643b68200d1f5-ssl-df%22	https://technoraxv9.netlify.app/assets/js/swiper.min.js	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/assets/js/swiper.min.js	(from https://technoraxv9.netlify.app/)
19:03:29	51886/51886	---M-Z	200	added ('OK')	application/javascript	etag:%2235dbd6408233c223b9caf87683299ee8-ssl-df%22	https://technoraxv9.netlify.app/assets/js/lightcase.js	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/assets/js/lightcase.js	(from https://technoraxv9.netlify.app/)
19:03:31	14249/14249	---MCZ	200	added ('OK')	application/javascript	etag:%22a02dd9858db9a7a0cc295d5adaa386b8-ssl-df%22	https://technoraxv9.netlify.app/assets/js/aos.js	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/assets/js/aos.js	(from https://technoraxv9.netlify.app/)
19:03:31	2793/2793	---M-Z	200	added ('OK')	application/javascript	etag:%2284440accfdd3b7139ba2fc82223fabe8-ssl-df%22	https://technoraxv9.netlify.app/assets/js/jquery.nice-select.js	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/assets/js/jquery.nice-select.js	(from https://technoraxv9.netlify.app/)
19:03:33	3532/3532	---MCZ	200	added ('OK')	application/javascript	etag:%22b049db5926953b07e51214b2b2542c17-ssl-df%22	https://technoraxv9.netlify.app/assets/js/jquery.paroller.min.js	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/assets/js/jquery.paroller.min.js	(from https://technoraxv9.netlify.app/)
19:03:34	5339/5339	---MCZ	200	added ('OK')	application/javascript	etag:%22cc22e50e91a797a05520044b4cf64f6f-ssl-df%22	https://technoraxv9.netlify.app/assets/js/jquery.countdown.min.js	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/assets/js/jquery.countdown.min.js	(from https://technoraxv9.netlify.app/)
19:03:35	12503/12503	---MCZ	200	added ('OK')	application/javascript	etag:%22977452a3a9477e419a0de71237a1296b-ssl-df%22	https://technoraxv9.netlify.app/assets/js/main.js	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/assets/js/main.js	(from https://technoraxv9.netlify.app/)
19:03:35	4369/4369	---M--	200	added ('OK')	image/png	etag:%222ea1aaf678e702c63851a5ea858330b7-ssl%22	https://technoraxv9.netlify.app/images/Sponsors/devfolio.png	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/Sponsors/devfolio.png	(from https://technoraxv9.netlify.app/)
19:03:36	5085/5085	---M--	200	added ('OK')	image/png	etag:%224252d584c6aba1f7ab12faf3e368c965-ssl%22	https://technoraxv9.netlify.app/images/Sponsors/polygon.png	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/Sponsors/polygon.png	(from https://technoraxv9.netlify.app/)
19:03:37	11925/11925	---M--	200	added ('OK')	image/png	etag:%224ee6b822f4d0d8769ecfe347468b44b6-ssl%22	https://technoraxv9.netlify.app/images/Sponsors/solana.png	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/Sponsors/solana.png	(from https://technoraxv9.netlify.app/)
19:03:38	4079/4079	---M--	200	added ('OK')	image/png	etag:%22fcfc4da3d9a5b7b75a6570024fef1a6d-ssl%22	https://technoraxv9.netlify.app/images/Sponsors/filecoin.png	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/Sponsors/filecoin.png	(from https://technoraxv9.netlify.app/)
19:03:39	11674/11674	---M--	200	added ('OK')	image/png	etag:%2200331571f4a9f1dbab6c6bcf0e6bbb58-ssl%22	https://technoraxv9.netlify.app/images/Sponsors/replit.png	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/Sponsors/replit.png	(from https://technoraxv9.netlify.app/)
19:03:41	36886/36886	---M--	200	added ('OK')	image/png	etag:%22507f91229efd6952a750367f445dea93-ssl%22	https://technoraxv9.netlify.app/images/Sponsors/codingninjas.png	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/Sponsors/codingninjas.png	(from https://technoraxv9.netlify.app/)
19:03:42	235343/235343	---M--	200	added ('OK')	image/png	etag:%22e4824433de0878a57fe402a295e5d253-ssl%22	https://technoraxv9.netlify.app/images/Sponsors/InterviewBuddy.png	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/Sponsors/InterviewBuddy.png	(from https://technoraxv9.netlify.app/)
19:03:43	26486/26486	---M--	200	added ('OK')	image/jpeg	etag:%22a5c239bf838f7fd5527fca9bd4676e09-ssl%22	https://technoraxv9.netlify.app/images/Sponsors/yhills.jpg	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/Sponsors/yhills.jpg	(from https://technoraxv9.netlify.app/)
19:03:44	44046/44046	---M--	200	added ('OK')	image/png	etag:%2201f78127ca6b6f9764491b06e81b45bf-ssl%22	https://technoraxv9.netlify.app/Images/Sponsors/insi.png	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/Images/Sponsors/insi.png	(from https://technoraxv9.netlify.app/)
19:03:44	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	etag:1692817432-ssl-df	https://technoraxv9.netlify.app/ieeeadgitm.com	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/ieeeadgitm.37.delayed	(from https://technoraxv9.netlify.app/)
19:03:46	24463/24463	---M--	200	added ('OK')	image/png	etag:%22c67868d4b711c176d8a39d4979a00624-ssl%22	https://technoraxv9.netlify.app/L1.png	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/L1.png	(from https://technoraxv9.netlify.app/)
